concepto,ano,mes_num,valor
OTROS,2023,2,38139783
OTROS,2023,3,49313170
OTROS,2023,4,39964150
OTROS,2023,5,35434493
OTROS,2023,6,38827733
OTROS,2023,7,24192033
OTROS,2023,8,23915560
OTROS,2023,9,19364526
OTROS,2023,10,28523590
OTROS,2023,11,31477514
OTROS,2023,12,23518680
OTROS,2024,1,16345427
OTROS,2024,2,30680201
OTROS,2024,3,22398874
OTROS,2024,4,25599052
OTROS,2024,5,14578988
OTROS,2024,6,18437537
OTROS,2024,7,13676500
OTROS,2024,8,23624951
OTROS,2024,9,19309805
OTROS,2024,10,15704800
OTROS,2024,11,48609967
OTROS,2024,12,22354655
OTROS,2025,1,60974063
OTROS,2025,2,29693692
OTROS,2025,3,68801335
OTROS,2025,4,31065403
OTROS,2025,5,65528567
OTROS,2025,6,43487718
OTROS,2025,7,54950000
OTROS,2025,8,56552577
OTROS,2025,9,110767941
OTROS,2025,10,50074354
OTROS,2025,11,50777536
OTROS,2025,12,53485000
OTROS,2026,1,42548234
OTROS,2026,2,53524105
OTROS,2026,3,26000000
OTROS,2026,4,49574300
OTROS,2026,5,19851884
ASEGURADORA,2023,1,44096416
ASEGURADORA,2023,2,18333369
ASEGURADORA,2023,3,26201334
ASEGURADORA,2023,4,8300927
ASEGURADORA,2023,5,24461007
ASEGURADORA,2023,6,43180081
ASEGURADORA,2023,7,38232768
ASEGURADORA,2023,8,49447031
ASEGURADORA,2023,9,7716869
ASEGURADORA,2023,10,42338674
ASEGURADORA,2023,11,65963561
ASEGURADORA,2023,12,18067646
ASEGURADORA,2024,1,46345696
ASEGURADORA,2024,2,60916420
ASEGURADORA,2024,3,34757768
ASEGURADORA,2024,4,67990837
ASEGURADORA,2024,5,63414958
ASEGURADORA,2024,6,24120531
ASEGURADORA,2024,7,38360685
ASEGURADORA,2024,8,10907368
ASEGURADORA,2024,9,45208242
ASEGURADORA,2024,10,23191638
ASEGURADORA,2024,11,30748824
ASEGURADORA,2024,12,24888233
ASEGURADORA,2025,1,20827042
ASEGURADORA,2025,2,41975855
ASEGURADORA,2025,3,45808496
ASEGURADORA,2025,4,15268722
ASEGURADORA,2025,5,20899170
ASEGURADORA,2025,6,26272988
ASEGURADORA,2025,7,8008492
ASEGURADORA,2025,8,26141262
ASEGURADORA,2025,9,67268063
ASEGURADORA,2025,10,35571648
ASEGURADORA,2025,11,21560419
ASEGURADORA,2025,12,36824758
ASEGURADORA,2026,1,51780764
ASEGURADORA,2026,2,46278669
ASEGURADORA,2026,3,68163164
ASEGURADORA,2026,4,87767111
